  cell  ,E,W,N,S
"(11, 4)",1,1,0,0
"(12, 4)",0,0,1,1
"(13, 4)",1,1,0,0
"(14, 4)",0,0,1,0
"(15, 4)",1,1,0,0
"(16, 4)",1,0,0,0
"(17, 4)",1,1,0,0
"(18, 4)",0,1,0,0
"(19, 4)",1,1,0,0
"(20, 4)",1,0,0,0
"(21, 4)",1,1,0,0
"(22, 4)",0,1,0,1
"(23, 4)",1,1,0,0
"(24, 4)",0,1,1,0
"(25, 4)",1,0,0,0
"(26, 4)",1,0,0,0
"(27, 4)",1,1,0,0
"(28, 4)",0,0,0,0
"(29, 4)",1,0,0,0
"(30, 4)",0,0,0,1
"(31, 4)",1,1,0,0
"(1, 5)",1,1,0,0
"(2, 5)",0,0,1,1
"(3, 5)",1,0,0,1
"(4, 5)",0,0,1,1
"(5, 5)",1,1,1,0
"(6, 5)",0,0,1,1
"(7, 5)",1,0,0,0
"(8, 5)",0,0,1,1
"(9, 5)",1,1,0,0
"(10, 5)",0,0,1,1
"(11, 5)",0,1,0,0
"(12, 5)",0,0,1,1
"(13, 5)",1,1,0,0
"(14, 5)",0,0,1,1
"(15, 5)",0,0,0,1
"(16, 5)",0,0,1,1
"(17, 5)",1,0,1,0
"(18, 5)",0,0,1,1
"(19, 5)",1,0,0,1
"(20, 5)",0,0,1,1
"(21, 5)",1,0,1,0
"(22, 5)",0,0,1,1
"(23, 5)",0,1,0,0
"(24, 5)",0,0,1,1
"(25, 5)",0,0,0,1
"(26, 5)",0,0,1,1
"(27, 5)",1,0,1,0
"(28, 5)",0,0,1,1
"(29, 5)",0,0,0,0
"(30, 5)",0,0,1,1
"(31, 5)",1,1,0,0
"(1, 6)",1,1,0,0
"(2, 6)",0,0,1,1
"(3, 6)",1,1,0,0
"(4, 6)",0,1,1,1
"(5, 6)",0,1,0,0
"(6, 6)",0,0,1,1
"(7, 6)",0,1,0,0
"(8, 6)",0,0,1,1
"(9, 6)",1,1,0,0
"(10, 6)",1,0,1,0
"(11, 6)",1,1,0,0
"(12, 6)",0,0,0,1
"(13, 6)",1,1,0,0
"(14, 6)",0,0,1,0
"(15, 6)",1,1,0,0
"(16, 6)",0,1,0,1
"(17, 6)",1,1,0,0
"(18, 6)",0,0,1,1
"(19, 6)",1,1,0,0
"(20, 6)",0,1,1,1
"(21, 6)",1,1,0,0
"(22, 6)",0,0,1,0
"(23, 6)",1,1,0,0
"(24, 6)",1,0,0,0
"(25, 6)",1,1,0,0
"(26, 6)",1,1,0,1
"(27, 6)",1,1,0,0
"(28, 6)",0,0,1,0
"(29, 6)",1,1,0,0
"(30, 6)",0,0,0,1
"(31, 6)",1,1,0,0
"(1, 7)",1,1,0,0
"(2, 7)",0,0,1,1
"(3, 7)",0,1,0,0
"(4, 7)",0,0,1,0
"(5, 7)",0,1,0,0
"(6, 7)",0,0,0,0
"(7, 7)",1,1,0,0
"(8, 7)",0,0,0,1
"(9, 7)",1,1,0,1
"(10, 7)",0,0,1,1
"(11, 7)",0,0,1,0
"(12, 7)",0,0,1,1
"(13, 7)",1,1,0,0
"(14, 7)",0,0,1,1
"(15, 7)",1,0,0,0
"(16, 7)",0,0,1,1
"(17, 7)",0,1,0,0
"(18, 7)",0,0,1,1
"(19, 7)",0,1,0,0
"(20, 7)",0,0,1,1
"(21, 7)",1,1,0,0
"(22, 7)",0,0,1,1
"(23, 7)",0,0,0,1
"(24, 7)",0,0,1,1
"(25, 7)",0,0,1,1
"(26, 7)",0,0,1,1
"(27, 7)",1,1,1,0
"(28, 7)",0,0,1,1
"(29, 7)",1,0,0,0
"(30, 7)",0,0,1,1
"(31, 7)",1,1,0,0
"(1, 8)",1,1,0,0
"(2, 8)",0,0,1,0
"(3, 8)",1,1,0,0
"(4, 8)",0,0,0,0
"(5, 8)",0,0,0,0
"(6, 8)",0,0,0,1
"(7, 8)",1,0,0,0
"(8, 8)",1,0,1,1
"(9, 8)",1,1,0,0
"(10, 8)",0,1,1,0
"(11, 8)",1,1,0,0
"(12, 8)",0,0,0,1
"(13, 8)",1,1,0,0
"(14, 8)",1,0,1,1
"(15, 8)",1,1,0,0
"(16, 8)",1,0,1,0
"(17, 8)",1,1,0,0
"(18, 8)",0,0,0,0
"(19, 8)",1,1,0,0
"(20, 8)",1,0,0,1
"(21, 8)",1,1,0,0
"(22, 8)",0,0,1,0
"(23, 8)",1,1,0,0
"(24, 8)",1,1,0,0
"(25, 8)",1,1,0,0
"(26, 8)",0,1,0,1
"(27, 8)",0,1,0,0
"(28, 8)",0,0,1,1
"(29, 8)",1,1,0,0
"(30, 8)",1,0,1,1
"(31, 8)",1,1,0,0
"(1, 9)",1,1,0,0
"(2, 9)",0,0,1,1
"(3, 9)",1,0,0,0
"(4, 9)",0,0,1,0
"(5, 9)",0,0,0,0
"(6, 9)",0,0,0,1
"(7, 9)",0,1,0,1
"(8, 9)",0,0,1,1
"(9, 9)",0,1,1,0
"(10, 9)",0,0,1,1
"(11, 9)",1,0,0,0
"(12, 9)",0,0,1,1
"(13, 9)",0,1,0,1
"(14, 9)",0,0,1,1
"(15, 9)",0,1,1,1
"(16, 9)",0,0,1,1
"(17, 9)",1,0,1,0
"(18, 9)",0,0,1,1
"(19, 9)",1,0,0,1
"(20, 9)",0,0,1,1
"(21, 9)",0,1,1,0
"(22, 9)",0,0,1,1
"(23, 9)",1,0,0,1
"(24, 9)",0,0,1,1
"(25, 9)",0,0,1,0
"(26, 9)",0,0,1,0
"(27, 9)",1,1,0,0
"(28, 9)",0,0,0,1
"(29, 9)",0,1,0,1
"(30, 9)",0,0,1,1
"(31, 9)",1,1,1,0
"(1, 10)",1,1,0,0
"(2, 10)",0,0,1,1
"(3, 10)",1,1,0,0
"(4, 10)",1,0,1,0
"(5, 10)",1,0,0,0
"(6, 10)",1,0,0,0
"(7, 10)",1,1,0,0
"(8, 10)",1,1,0,0
"(9, 10)",1,1,0,0
"(10, 10)",1,0,0,1
"(11, 10)",1,1,0,0
"(12, 10)",1,0,1,0
"(13, 10)",1,1,0,0
"(14, 10)",1,1,0,0
"(15, 10)",1,1,0,0
"(16, 10)",0,1,0,1
"(17, 10)",1,1,0,0
"(18, 10)",0,0,1,1
"(19, 10)",1,1,0,0
"(20, 10)",0,1,1,0
"(21, 10)",1,1,0,0
"(22, 10)",1,0,0,1
"(23, 10)",1,1,0,0
"(24, 10)",1,1,1,0
"(25, 10)",1,1,0,0
"(26, 10)",0,0,0,1
"(27, 10)",1,0,0,0
"(28, 10)",1,0,1,0
"(29, 10)",1,1,0,0
"(30, 10)",0,1,0,1
"(31, 10)",1,1,0,0
"(1, 11)",1,1,0,0
"(2, 11)",0,0,1,1
"(3, 11)",0,1,0,1
"(4, 11)",0,0,1,1
"(5, 11)",1,0,1,1
"(6, 11)",0,0,1,1
"(7, 11)",0,0,1,1
"(8, 11)",0,0,1,1
"(9, 11)",0,0,1,1
"(10, 11)",0,0,1,1
"(11, 11)",1,1,1,1
"(12, 11)",0,0,1,1
"(13, 11)",0,0,1,1
"(14, 11)",0,0,1,1
"(15, 11)",1,0,1,0
"(16, 11)",0,0,1,1
"(17, 11)",1,1,0,0
"(18, 11)",0,0,1,1
"(19, 11)",1,1,0,0
"(20, 11)",0,0,1,1
"(21, 11)",0,0,0,1
"(22, 11)",0,0,1,1
"(23, 11)",0,1,1,1
"(24, 11)",0,0,1,1
"(25, 11)",0,0,1,0
"(26, 11)",0,0,1,1
"(27, 11)",0,1,0,1
"(28, 11)",0,0,1,1
"(29, 11)",0,0,1,0
"(30, 11)",0,0,1,1
"(31, 11)",1,1,0,0
"(1, 12)",1,1,0,0
"(2, 12)",0,0,1,0
"(3, 12)",1,1,0,0
"(4, 12)",0,1,0,1
"(5, 12)",1,1,0,0
"(6, 12)",0,1,1,0
"(7, 12)",1,1,0,0
"(8, 12)",1,1,0,0
"(9, 12)",1,1,0,0
"(10, 12)",0,1,0,1
"(11, 12)",1,1,0,0
"(12, 12)",0,1,1,0
"(13, 12)",1,1,0,0
"(14, 12)",0,1,0,1
"(15, 12)",1,1,0,0
"(16, 12)",0,0,1,1
"(17, 12)",1,1,0,0
"(18, 12)",1,0,1,1
"(19, 12)",1,1,0,0
"(20, 12)",1,0,1,0
"(21, 12)",1,1,0,0
"(22, 12)",1,1,0,0
"(23, 12)",1,1,0,0
"(24, 12)",0,1,0,0
"(25, 12)",0,1,0,0
"(26, 12)",1,0,0,0
"(27, 12)",1,1,0,0
"(28, 12)",1,1,0,0
"(29, 12)",1,1,0,0
"(30, 12)",0,0,0,1
"(31, 12)",1,1,0,0
"(1, 13)",1,1,0,0
"(2, 13)",0,0,1,1
"(3, 13)",1,0,0,0
"(4, 13)",0,0,1,1
"(5, 13)",0,1,0,0
"(6, 13)",0,0,1,1
"(7, 13)",1,0,0,1
"(8, 13)",0,0,1,1
"(9, 13)",0,0,1,0
"(10, 13)",0,0,1,1
"(11, 13)",0,1,0,0
"(12, 13)",0,0,1,1
"(13, 13)",1,0,0,0
"(14, 13)",0,0,1,1
"(15, 13)",1,1,0,0
"(16, 13)",0,0,1,1
"(17, 13)",0,1,0,1
"(18, 13)",0,0,1,1
"(19, 13)",0,1,1,1
"(20, 13)",0,0,1,1
"(21, 13)",0,0,1,1
"(22, 13)",0,0,1,1
"(23, 13)",0,0,1,0
"(24, 13)",0,0,1,0
"(25, 13)",0,0,0,1
"(26, 13)",0,0,0,1
"(27, 13)",0,0,1,1
"(28, 13)",0,0,1,1
"(29, 13)",1,0,1,0
"(30, 13)",0,0,1,1
"(31, 13)",1,1,0,0
"(1, 14)",1,1,0,0
"(2, 14)",1,0,1,1
"(3, 14)",1,1,0,0
"(4, 14)",1,0,1,0
"(5, 14)",1,1,0,0
"(6, 14)",1,0,0,1
"(7, 14)",1,1,0,0
"(8, 14)",0,1,1,0
"(9, 14)",1,1,0,0
"(10, 14)",1,0,0,0
"(11, 14)",0,1,0,0
"(12, 14)",0,0,0,1
"(13, 14)",1,1,0,0
"(14, 14)",0,0,1,1
"(15, 14)",1,1,0,0
"(16, 14)",1,0,1,0
"(17, 14)",1,1,0,0
"(18, 14)",1,1,0,0
"(19, 14)",1,1,0,0
"(20, 14)",1,1,0,0
"(21, 14)",1,1,0,0
"(22, 14)",1,1,0,0
"(23, 14)",1,1,0,0
"(24, 14)",1,0,0,0
"(25, 14)",1,0,0,0
"(26, 14)",0,1,0,0
"(27, 14)",1,1,0,0
"(28, 14)",1,1,0,1
"(29, 14)",1,1,0,0
"(30, 14)",0,0,1,1
"(31, 14)",1,1,0,0
"(1, 15)",1,1,0,1
"(2, 15)",0,0,1,1
"(3, 15)",0,1,1,1
"(4, 15)",0,0,1,1
"(5, 15)",0,0,1,1
"(6, 15)",0,0,1,1
"(7, 15)",1,1,1,0
"(8, 15)",0,0,1,1
"(9, 15)",0,0,0,1
"(10, 15)",0,0,1,0
"(11, 15)",0,0,1,0
"(12, 15)",0,0,0,1
"(13, 15)",1,1,0,0
"(14, 15)",0,0,1,1
"(15, 15)",0,1,0,1
"(16, 15)",0,0,1,1
"(17, 15)",0,0,1,1
"(18, 15)",0,0,1,1
"(19, 15)",0,0,1,1
"(20, 15)",0,0,1,1
"(21, 15)",0,0,1,1
"(22, 15)",0,0,1,1
"(23, 15)",1,0,1,1
"(24, 15)",0,0,1,1
"(25, 15)",0,0,1,0
"(26, 15)",0,0,1,1
"(27, 15)",0,0,0,1
"(28, 15)",0,0,1,1
"(29, 15)",0,1,1,0
"(30, 15)",0,0,1,1
"(31, 15)",1,1,0,0
"(1, 16)",1,1,0,0
"(2, 16)",0,1,1,0
"(3, 16)",1,1,0,0
"(4, 16)",1,1,0,0
"(5, 16)",1,1,0,0
"(6, 16)",0,1,0,1
"(7, 16)",1,1,0,0
"(8, 16)",1,0,1,0
"(9, 16)",1,1,0,0
"(10, 16)",0,1,0,0
"(11, 16)",1,0,0,0
"(12, 16)",1,0,0,1
"(13, 16)",1,1,0,0
"(14, 16)",0,0,1,0
"(15, 16)",1,1,0,0
"(16, 16)",0,1,0,0
"(17, 16)",1,1,0,0
"(18, 16)",1,1,0,0
"(19, 16)",1,1,0,0
"(20, 16)",0,1,0,0
"(21, 16)",1,1,0,0
"(22, 16)",0,1,0,1
"(23, 16)",1,1,0,0
"(24, 16)",1,1,1,0
"(25, 16)",1,1,0,0
"(26, 16)",0,0,0,0
"(27, 16)",0,1,0,0
"(28, 16)",0,1,0,0
"(29, 16)",1,1,0,0
"(30, 16)",1,0,0,1
"(31, 16)",1,1,0,0
"(1, 17)",1,1,0,0
"(2, 17)",0,0,1,1
"(3, 17)",1,0,0,1
"(4, 17)",0,0,1,1
"(5, 17)",1,0,1,0
"(6, 17)",0,0,1,1
"(7, 17)",0,1,0,1
"(8, 17)",0,0,1,1
"(9, 17)",0,0,1,0
"(10, 17)",0,0,1,1
"(11, 17)",1,0,0,1
"(12, 17)",0,0,1,1
"(13, 17)",0,1,1,0
"(14, 17)",0,0,1,1
"(15, 17)",1,0,0,0
"(16, 17)",0,0,1,1
"(17, 17)",1,0,0,1
"(18, 17)",0,0,1,1
"(19, 17)",0,0,1,0
"(20, 17)",0,0,1,1
"(21, 17)",1,0,0,0
"(22, 17)",0,0,1,1
"(23, 17)",0,1,0,1
"(24, 17)",0,0,1,1
"(25, 17)",0,0,1,0
"(26, 17)",0,0,1,0
"(27, 17)",1,0,0,0
"(28, 17)",0,0,0,1
"(29, 17)",0,0,0,1
"(30, 17)",0,0,1,1
"(31, 17)",1,1,1,0
"(1, 18)",1,1,0,0
"(2, 18)",0,0,1,1
"(3, 18)",0,1,0,0
"(4, 18)",0,1,1,1
"(5, 18)",1,1,0,0
"(6, 18)",1,0,1,0
"(7, 18)",1,1,0,0
"(8, 18)",1,1,0,0
"(9, 18)",0,1,0,0
"(10, 18)",1,0,0,1
"(11, 18)",1,1,0,0
"(12, 18)",0,1,1,0
"(13, 18)",1,1,0,0
"(14, 18)",0,0,0,1
"(15, 18)",1,1,0,0
"(16, 18)",1,0,1,1
"(17, 18)",1,1,0,0
"(18, 18)",0,1,1,0
"(19, 18)",1,1,0,0
"(20, 18)",0,0,0,1
"(21, 18)",1,1,0,0
"(22, 18)",1,0,1,0
"(23, 18)",1,1,0,0
"(24, 18)",1,1,0,0
"(25, 18)",1,1,0,0
"(26, 18)",1,0,0,1
"(27, 18)",1,0,0,0
"(28, 18)",1,0,1,0
"(29, 18)",1,1,0,0
"(30, 18)",1,1,0,1
"(31, 18)",1,1,0,0
"(1, 19)",1,1,0,0
"(2, 19)",0,0,1,0
"(3, 19)",1,1,0,0
"(4, 19)",0,0,0,1
"(5, 19)",0,1,0,1
"(6, 19)",0,0,1,1
"(7, 19)",0,0,1,1
"(8, 19)",0,0,1,0
"(9, 19)",0,0,1,1
"(10, 19)",0,0,0,1
"(11, 19)",0,1,1,0
"(12, 19)",0,0,1,1
"(13, 19)",1,0,0,0
"(14, 19)",0,0,1,1
"(15, 19)",1,1,0,1
"(16, 19)",0,0,1,1
"(17, 19)",0,1,1,0
"(18, 19)",0,0,1,1
"(19, 19)",1,0,0,0
"(20, 19)",0,0,1,1
"(21, 19)",0,1,0,1
"(22, 19)",0,0,1,1
"(23, 19)",0,0,1,1
"(24, 19)",0,0,1,1
"(25, 19)",0,0,1,1
"(26, 19)",0,0,1,1
"(27, 19)",0,1,1,1
"(28, 19)",0,0,1,1
"(29, 19)",0,0,1,1
"(30, 19)",0,0,1,1
"(31, 19)",1,1,1,0
"(1, 20)",1,1,0,0
"(2, 20)",0,0,1,1
"(3, 20)",1,0,0,0
"(4, 20)",1,0,1,0
"(5, 20)",1,1,0,0
"(6, 20)",0,1,0,0
"(7, 20)",1,1,0,0
"(8, 20)",1,1,0,0
"(9, 20)",1,0,0,0
"(10, 20)",1,1,0,0
"(11, 20)",1,1,0,0
"(12, 20)",1,0,0,1
"(13, 20)",1,1,0,0
"(14, 20)",0,0,1,1
"(15, 20)",1,1,0,0
"(16, 20)",0,1,1,0
"(17, 20)",1,1,0,0
"(18, 20)",1,0,0,1
"(19, 20)",1,1,0,0
"(20, 20)",1,0,1,0
"(21, 20)",1,1,0,0
"(22, 20)",1,1,0,0
"(23, 20)",1,1,0,0
"(24, 20)",0,1,0,0
"(25, 20)",0,1,0,0
"(26, 20)",0,1,0,0
"(27, 20)",1,1,0,0
"(28, 20)",1,1,0,0
"(29, 20)",1,1,0,0
"(30, 20)",1,1,0,1
"(31, 20)",1,1,0,0
"(1, 21)",1,1,0,0
"(2, 21)",0,0,1,1
"(3, 21)",1,1,0,1
"(4, 21)",0,0,1,1
"(5, 21)",0,0,1,0
"(6, 21)",0,0,1,1
"(7, 21)",1,0,0,1
"(8, 21)",0,0,1,1
"(9, 21)",0,0,1,1
"(10, 21)",0,0,1,1
"(11, 21)",0,0,1,1
"(12, 21)",0,0,1,1
"(13, 21)",0,1,1,0
"(14, 21)",0,0,1,1
"(15, 21)",1,1,0,0
"(16, 21)",0,0,1,1
"(17, 21)",0,0,0,1
"(18, 21)",0,0,1,1
"(19, 21)",0,1,1,1
"(20, 21)",0,0,1,1
"(21, 21)",0,0,1,1
"(22, 21)",0,0,1,1
"(23, 21)",0,0,1,0
"(24, 21)",0,0,1,0
"(25, 21)",0,0,0,0
"(26, 21)",0,0,0,1
"(27, 21)",1,0,0,1
"(28, 21)",0,0,1,1
"(29, 21)",0,0,1,1
"(30, 21)",0,0,1,1
"(31, 21)",1,1,1,0
"(1, 22)",1,1,0,0
"(2, 22)",0,0,1,1
"(3, 22)",1,1,0,0
"(4, 22)",0,1,1,0
"(5, 22)",1,1,0,0
"(6, 22)",1,0,0,1
"(7, 22)",1,1,0,0
"(8, 22)",1,1,1,0
"(9, 22)",1,1,0,0
"(10, 22)",1,1,0,0
"(11, 22)",1,1,0,0
"(12, 22)",1,1,0,0
"(13, 22)",1,1,0,0
"(14, 22)",1,0,0,1
"(15, 22)",1,1,0,0
"(16, 22)",1,0,1,0
"(17, 22)",1,1,0,0
"(18, 22)",1,1,0,0
"(19, 22)",1,1,0,0
"(20, 22)",1,1,0,0
"(21, 22)",1,1,0,0
"(22, 22)",0,1,0,0
"(23, 22)",0,1,0,0
"(24, 22)",0,0,0,0
"(25, 22)",0,0,0,0
"(26, 22)",0,0,0,1
"(27, 22)",0,1,0,0
"(28, 22)",0,1,1,0
"(29, 22)",1,1,0,0
"(30, 22)",1,1,0,1
"(31, 22)",1,1,0,0
"(1, 23)",1,1,0,0
"(2, 23)",0,0,1,1
"(3, 23)",1,1,0,0
"(4, 23)",0,0,1,1
"(5, 23)",0,0,0,1
"(6, 23)",0,0,1,1
"(7, 23)",0,1,1,1
"(8, 23)",0,0,1,1
"(9, 23)",0,0,1,1
"(10, 23)",0,0,1,1
"(11, 23)",1,0,1,1
"(12, 23)",0,0,1,1
"(13, 23)",0,0,1,1
"(14, 23)",0,0,1,1
"(15, 23)",0,1,1,1
"(16, 23)",0,0,1,1
"(17, 23)",1,0,1,1
"(18, 23)",0,0,1,1
"(19, 23)",0,0,1,1
"(20, 23)",0,0,1,1
"(21, 23)",0,0,1,0
"(22, 23)",0,0,1,0
"(23, 23)",1,0,0,0
"(24, 23)",0,0,0,0
"(25, 23)",0,0,0,0
"(26, 23)",0,0,0,0
"(27, 23)",1,1,0,0
"(28, 23)",0,0,0,1
"(29, 23)",0,0,0,1
"(30, 23)",0,0,1,1
"(31, 23)",1,1,1,0
"(1, 24)",1,1,0,0
"(2, 24)",0,0,1,1
"(3, 24)",1,1,0,0
"(4, 24)",0,0,1,0
"(5, 24)",1,1,0,0
"(6, 24)",1,1,0,0
"(7, 24)",1,1,0,0
"(8, 24)",1,1,0,0
"(9, 24)",1,1,0,0
"(10, 24)",0,1,0,1
"(11, 24)",1,1,0,0
"(12, 24)",0,1,1,0
"(13, 24)",1,1,0,0
"(14, 24)",1,1,0,0
"(15, 24)",1,1,0,0
"(16, 24)",0,1,0,1
"(17, 24)",1,1,0,0
"(18, 24)",0,1,1,0
"(19, 24)",1,1,0,0
"(20, 24)",0,1,0,0
"(21, 24)",1,1,0,0
"(22, 24)",1,0,0,1
"(23, 24)",1,0,0,0
"(24, 24)",1,0,1,0
"(25, 24)",1,0,0,0
"(26, 24)",1,0,0,1
"(27, 24)",1,0,0,0
"(28, 24)",1,0,1,0
"(29, 24)",1,1,0,0
"(30, 24)",0,1,0,1
"(31, 24)",1,1,0,0
"(1, 25)",1,1,0,0
"(2, 25)",0,0,1,1
"(3, 25)",1,1,0,0
"(4, 25)",0,0,1,1
"(5, 25)",1,0,0,1
"(6, 25)",0,0,1,1
"(7, 25)",0,0,1,1
"(8, 25)",0,0,1,1
"(9, 25)",1,0,1,0
"(10, 25)",0,0,1,1
"(11, 25)",0,1,0,0
"(12, 25)",0,0,1,1
"(13, 25)",1,0,0,1
"(14, 25)",0,0,1,1
"(15, 25)",1,0,1,0
"(16, 25)",0,0,1,1
"(17, 25)",1,1,0,0
"(18, 25)",0,0,1,1
"(19, 25)",0,0,0,0
"(20, 25)",0,0,1,1
"(21, 25)",1,0,0,1
"(22, 25)",0,0,1,1
"(23, 25)",0,1,1,1
"(24, 25)",0,0,1,1
"(25, 25)",0,0,1,1
"(26, 25)",0,0,1,1
"(27, 25)",0,1,1,1
"(28, 25)",0,0,1,1
"(29, 25)",0,0,1,0
"(30, 25)",0,0,1,1
"(31, 25)",1,1,0,0
"(1, 26)",1,1,0,0
"(2, 26)",0,0,1,1
"(3, 26)",1,1,0,0
"(4, 26)",0,0,1,1
"(5, 26)",1,1,0,0
"(6, 26)",1,1,1,0
"(7, 26)",1,1,0,0
"(8, 26)",0,1,0,1
"(9, 26)",1,1,0,0
"(10, 26)",1,0,1,0
"(11, 26)",1,1,0,0
"(12, 26)",1,0,0,1
"(13, 26)",1,1,0,0
"(14, 26)",0,1,1,1
"(15, 26)",1,1,0,0
"(16, 26)",0,0,1,1
"(17, 26)",1,1,0,0
"(18, 26)",1,0,1,0
"(19, 26)",1,1,0,0
"(20, 26)",0,0,0,1
"(21, 26)",1,1,0,0
"(22, 26)",1,1,1,0
"(23, 26)",1,1,0,0
"(24, 26)",0,1,0,0
"(25, 26)",1,1,0,0
"(26, 26)",1,1,0,0
"(27, 26)",1,1,0,0
"(28, 26)",0,1,0,0
"(29, 26)",1,1,0,0
"(30, 26)",0,0,0,1
"(31, 26)",1,1,0,0
"(1, 27)",1,1,0,0
"(2, 27)",0,0,1,1
"(3, 27)",1,1,0,0
"(4, 27)",0,0,1,1
"(5, 27)",0,1,0,1
"(6, 27)",0,0,1,1
"(7, 27)",0,0,1,0
"(8, 27)",0,0,1,1
"(9, 27)",0,1,0,1
"(10, 27)",0,0,1,1
"(11, 27)",0,0,1,1
"(12, 27)",0,0,1,1
"(13, 27)",0,1,1,0
"(14, 27)",0,0,1,1
"(15, 27)",0,1,0,0
"(16, 27)",0,0,1,1
"(17, 27)",0,1,0,1
"(18, 27)",0,0,1,1
"(19, 27)",1,0,1,0
"(20, 27)",0,0,1,1
"(21, 27)",0,1,0,1
"(22, 27)",0,0,1,1
"(23, 27)",1,0,1,0
"(24, 27)",0,0,1,1
"(25, 27)",0,0,0,1
"(26, 27)",0,0,1,1
"(27, 27)",0,0,1,0
"(28, 27)",0,0,1,1
"(29, 27)",1,0,0,0
"(30, 27)",0,0,1,1
"(31, 27)",1,1,0,0
"(1, 28)",1,1,0,0
"(2, 28)",0,0,1,1
"(3, 28)",1,1,0,0
"(4, 28)",1,0,1,0
"(5, 28)",1,1,0,0
"(6, 28)",1,1,0,0
"(7, 28)",1,1,0,0
"(8, 28)",1,0,0,0
"(9, 28)",1,1,0,0
"(10, 28)",0,1,0,0
"(11, 28)",1,1,0,0
"(12, 28)",1,1,0,0
"(13, 28)",1,1,0,0
"(14, 28)",1,0,0,0
"(15, 28)",1,1,0,0
"(16, 28)",0,0,0,0
"(17, 28)",1,1,0,0
"(18, 28)",1,1,0,1
"(19, 28)",1,1,0,0
"(20, 28)",1,0,1,0
"(21, 28)",1,1,0,0
"(22, 28)",0,1,0,1
"(23, 28)",1,1,0,0
"(24, 28)",1,0,1,0
"(25, 28)",1,1,0,0
"(26, 28)",0,1,0,0
"(27, 28)",1,1,0,0
"(28, 28)",1,0,0,1
"(29, 28)",1,1,0,0
"(30, 28)",1,0,1,1
"(31, 28)",1,1,0,0
"(1, 29)",1,1,0,0
"(2, 29)",0,0,1,1
"(3, 29)",0,1,0,1
"(4, 29)",0,0,1,1
"(5, 29)",1,0,1,1
